cpc1,cpc2,cpc3,  tech area
pat0232,H02M,,,Solar Inverter
pat0233,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0234,H02M,Y02E,Y02B,Solar Monitoring
pat0235,H02J,,,Solar Monitoring
pat0236,F24J,F16B,H01L,Solar Mounting/Rack
pat0237,H01R,Y02E,H01L,Solar Mounting/Rack
pat0238,Y02E,F24J,,Solar Mounting/Rack
pat0239,Y02E,H01L,H02M,Solar Inverter
pat0240,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0241,Y02E,G05F,,Solar Inverter
pat0242,F24J,Y02E,H01L,Solar Mounting/Rack
pat0243,H01R,Y02E,H01L,Solar Mounting/Rack
pat0244,H02M,Y02E,Y02B,Solar Monitoring
pat0245,Y02E,H01L,H02M,Solar Inverter
pat0246,H03K,Y02E,H02M,Solar Inverter
pat0247,F24J,Y02E,E04D,Solar Mounting/Rack
pat0248,H01L,Y02B,H01L,Solar Mounting/Rack
pat0249,Y02E,G06Q,H02J,Solar Monitoring
pat0250,Y02B,H01L,,Solar Mounting/Rack
pat0251,Y02E,H01L,Y04S,Solar Mounting/Rack
pat0252,G01R,Y02E,H01L,Solar Monitoring
pat0253,H01L,Y02B,H01L,Solar Mounting/Rack
pat0254,Y02E,H02M,H02J,Solar Inverter
pat0255,Y02E,H01L,H02J,Solar Inverter
pat0256,F24J,Y02E,H01L,Solar Mounting/Rack
pat0257,H02M,H02J,H02M,Solar Inverter
pat0258,H02M,H02J,Y02E,Solar Inverter
pat0259,H01H,,,Solar Inverter
pat0260,H02M,Y02E,,Solar Inverter
pat0261,H02M,Y02B,,Solar Inverter
pat0262,Y02E,H02J,,Solar Monitoring
pat0263,F24J,Y02E,H01L,Solar Mounting/Rack
pat0264,Y02E,H02J,,Solar Inverter
pat0265,F24J,Y02E,H01L,Solar Mounting/Rack
pat0266,H02J,Y02B,,Solar Inverter
pat0267,Y02E,H01L,H02J,Solar Inverter
pat0268,H02J,,,Solar Monitoring
pat0269,H02J,,,Solar Inverter
pat0270,H02J,,,Solar Inverter
pat0271,F24J,Y02E,H01L,Solar Mounting/Rack
pat0273,Y02E,Y02B,H02M,Solar Inverter
pat0274,H04Q,,,Solar Monitoring
pat0275,H05K,,,Solar Inverter
pat0282,H01L,Y02E,H02J,Solar Monitoring
pat0286,Y02E,H01L,,Solar Monitoring
pat0292,G01R,H02S,,Solar Monitoring
pat0295,Y02B,F02D,,Solar Inverter
pat0304,Y02E,H02J,,Solar Inverter
pat0306,,,,Solar Monitoring
pat0310,G01W,,,Site Assessment
pat0311,G01R,H02S,G06Q,Site Assessment
pat0314,Y02E,H02J,,Solar Inverter
pat0315,,,,Solar Inverter
pat0316,Y02E,H02J,,Solar Monitoring
pat0317,Y02E,H02J,,Solar Inverter
pat0318,Y02E,H02J,,Solar Inverter
pat0319,,,,Solar Inverter
pat0320,F24J,Y02B,F24J,Solar Mounting/Rack
pat0321,Y02E,H02J,,Solar Inverter
pat0322,F24J,Y02E,F24J,Solar Mounting/Rack
pat0323,F24J,Y02E,H01L,Solar Mounting/Rack
pat0324,Y02B,Y02E,H01L,Solar Mounting/Rack
pat0325,Y02E,F24J,H01L,Solar Mounting/Rack
pat0326,H01L,Y02E,Y02B,Solar Mounting/Rack
pat0327,H01L,Y02E,F24J,Solar Mounting/Rack
pat0328,F24J,Y02E,H01L,Solar Mounting/Rack
pat0329,H01L,Y02E,,Solar Mounting/Rack
pat0330,Y02B,H02M,H02J,Solar Inverter
pat0331,G06Q,Y02B,,Solar Mounting/Rack
pat0332,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0333,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0334,H02M,,,Solar Inverter
pat0335,Y02E,H02M,H02J,Solar Inverter
pat0336,B23K,H01L,B23K,Solar Mounting/Rack
pat0337,F16M,Y02E,F24J,Solar Mounting/Rack
pat0338,H01L,Y02E,Y02B,Solar Mounting/Rack
pat0339,H01L,Y02E,F24J,Solar Mounting/Rack
pat0340,H02J,Y02E,H01L,Solar Inverter
pat0341,H02M,Y02E,,Solar Inverter
pat0342,Y02E,H02M,H02J,Solar Inverter
pat0343,Y02E,H01L,,Solar Monitoring
pat0345,H02M,Y02E,,Solar Inverter
pat0346,G06Q,Y04S,,Solar Monitoring
pat0347,Y02E,Y02B,Y02E,Solar Mounting/Rack
pat0348,H01M,Y02E,,Solar Monitoring
pat0349,F24J,H01L,F24J,Solar Inverter
pat0350,H01L,Y02B,H01L,Solar Monitoring
pat0351,Y02B,H01L,Y02E,Solar Mounting/Rack
pat0352,H01L,Y02B,H01L,Solar Mounting/Rack
pat0353,Y02E,H01M,Y02E,Solar Monitoring
pat0354,F24J,Y02E,E04D,Solar Mounting/Rack
pat0355,F24J,Y02E,E04D,Solar Mounting/Rack
pat0356,Y02E,H01L,Y02B,Solar Mounting/Rack
pat0357,F24J,H01R,Y02E,Solar Mounting/Rack
pat0358,Y02E,H02J,,Solar Inverter
pat0359,F24J,H01L,Y02E,Solar Mounting/Rack
pat0360,H02J,Y02E,Y04S,Solar Monitoring
pat0361,Y02B,H02M,,Solar Inverter
pat0362,Y02E,H01L,Y02B,Solar Monitoring
pat0363,H01L,Y02E,,Solar Mounting/Rack
pat0364,H02H,,,Solar Inverter
pat0365,H01L,Y02E,Y02B,Solar Mounting/Rack
pat0366,H02J,,,Solar Inverter
pat0367,Y02B,Y04S,G01D,Solar Monitoring
pat0368,G01R,,,Solar Monitoring
pat0369,Y04S,Y02B,H02J,Solar Monitoring
pat0370,E04H,Y02E,H01L,Solar Mounting/Rack
pat0371,H01L,Y02E,,Solar Mounting/Rack
pat0372,G01D,H04Q,Y04S,Solar Monitoring
pat0373,H02M,Y02E,Y02B,Solar Inverter
pat0374,F24J,Y02E,H01L,Solar Mounting/Rack
pat0375,H02J,Y02E,G06Q,Solar Monitoring
pat0376,F24J,H01L,Y02E,Solar Mounting/Rack
pat0377,F24J,H01L,F24J,Solar Mounting/Rack
pat0378,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0379,G06Q,Y04S,,Solar Monitoring
pat0380,H02M,Y02E,H01L,Solar Inverter
pat0381,H02M,Y02E,H01L,Solar Inverter
pat0382,H02M,Y02E,,Solar Inverter
pat0383,H01L,F24J,Y02E,Solar Mounting/Rack
pat0384,H01R,H01L,H01R,Solar Mounting/Rack
pat0385,G06T,F24J,,Site Assessment
pat0386,H02J,Y02E,Y02B,Solar Inverter
pat0387,G01R,Y02E,H01L,Solar Monitoring
pat0388,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0389,Y02E,Y02B,H02J,Solar Inverter
pat0390,G06Q,Y04S,,Solar Monitoring
pat0391,F24J,H01L,Y02E,Solar Mounting/Rack
pat0392,Y02E,H01L,H02J,Solar Mounting/Rack
pat0393,H01L,F24J,Y02E,Solar Mounting/Rack
pat0394,F24J,H01L,F24J,Solar Mounting/Rack
pat0395,Y02E,H02J,,Solar Monitoring
pat0396,G06Q,,,Solar Monitoring
pat0397,Y02E,H02J,,Solar Monitoring
pat0398,Y02E,G05F,,Solar Monitoring
pat0399,H02J,Y02E,H01L,Solar Inverter
pat0400,G06T,G01W,,Site Assessment
pat0401,F24J,Y02B,F24J,Solar Mounting/Rack
pat0402,F24J,Y02E,H01L,Solar Mounting/Rack
pat0403,F24J,Y02E,H01L,Solar Mounting/Rack
pat0404,Y02E,H01L,G05F,Solar Inverter
pat0405,H01L,Y02E,,Solar Inverter
pat0406,G01R,,,Solar Monitoring
pat0407,H01L,Y02E,Y02B,Solar Mounting/Rack
pat0408,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0409,Y02E,G01W,H01L,Solar Monitoring
pat0410,Y02E,H01L,Y02B,Solar Inverter
pat0411,H02M,H02J,,Solar Inverter
pat0412,H01L,Y02E,Y02B,Solar Monitoring
pat0413,Y02E,H01L,,Solar Mounting/Rack
pat0414,H02H,Y02B,H02H,Solar Monitoring
pat0415,Y02E,H01L,Y02E,Solar Mounting/Rack
pat0416,H01L,G01R,Y02E,Solar Monitoring
pat0417,F24J,Y02E,H01L,Solar Mounting/Rack
pat0418,Y02E,H02J,Y02E,Solar Monitoring
pat0419,F24J,H01L,F24J,Solar Mounting/Rack
pat0420,,,,Solar Mounting/Rack
pat0421,F24J,Y02E,H01L,Solar Mounting/Rack
pat0422,H01L,Y02B,Y02E,Solar Monitoring
pat0423,H02J,,,Solar Inverter
pat0424,H01L,F24J,Y02B,Solar Mounting/Rack
pat0425,H01L,Y02B,H01L,Solar Inverter
pat0426,G06F,H02J,Y02B,Solar Monitoring
pat0427,,,,Solar Mounting/Rack
pat0428,F24J,Y02E,H01L,Solar Mounting/Rack
pat0429,H02J,Y02E,Y04S,Solar Inverter
pat0430,G05F,,,Solar Inverter
pat0431,Y02E,H01L,G05F,Solar Monitoring
pat0432,F24J,Y02E,H01L,Solar Mounting/Rack
pat0433,G01R,H01L,,Solar Monitoring
pat0434,H02J,Y02E,H01L,Solar Inverter
pat0435,Y02E,H01R,H01L,Solar Mounting/Rack
pat0436,Y02E,H01M,,Solar Monitoring
pat0437,Y02E,F24J,Y02B,Solar Mounting/Rack
pat0438,Y02E,H01L,H02J,Solar Inverter
pat0439,H01L,F24J,Y02B,Solar Mounting/Rack
pat0440,F24J,Y02E,H01L,Solar Mounting/Rack
pat0441,F24J,Y02B,,Solar Mounting/Rack
pat0442,Y02B,H01L,Y02E,Solar Mounting/Rack
pat0443,,,,Solar Mounting/Rack
pat0444,G01F,H04Q,,Solar Monitoring
pat0445,Y02B,Y02E,H02J,Solar Inverter
pat0446,Y02E,Y02B,Y02E,Solar Mounting/Rack
pat0447,,,,Solar Monitoring
pat0448,H02J,Y02B,,Solar Monitoring
pat0449,G09F,,,Solar Mounting/Rack
pat0450,Y02B,H02M,,Solar Inverter
pat0451,H02M,,,Solar Inverter
pat0452,H02J,,,Solar Inverter
pat0453,H02J,,,Solar Inverter
pat0454,H01R,Y02E,H01L,Solar Mounting/Rack
pat0455,H02H,H02J,Y02E,Solar Inverter
pat0456,H05K,H01L,Y02E,Solar Mounting/Rack
pat0457,H04Q,Y02E,H01L,Solar Monitoring
pat0458,Y02B,Y02E,H01L,Solar Inverter
pat0459,H01L,Y02E,H01H,Solar Mounting/Rack
pat0460,Y02E,F24J,H01L,Solar Mounting/Rack
pat0461,Y02E,F24J,H01L,Solar Mounting/Rack
pat0462,F24J,Y02E,H01L,Solar Mounting/Rack
pat0463,H01L,Y02E,F24J,Solar Mounting/Rack
pat0464,H02J,Y02E,Y04S,Solar Monitoring
pat0465,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0466,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0467,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0468,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0469,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0470,Y02E,H02J,Y02E,Solar Inverter
pat0471,Y02E,H02J,,Solar Inverter
pat0472,Y02E,H02H,,Solar Monitoring
pat0473,G05F,,,Solar Mounting/Rack
pat0474,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0475,H01L,Y02E,,Solar Mounting/Rack
pat0476,Y02E,F24J,H01L,Solar Mounting/Rack
pat0477,F24J,Y02E,H01L,Solar Mounting/Rack
pat0478,H01L,H01R,Y02E,Solar Mounting/Rack
pat0479,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0480,F24J,Y02E,,Solar Mounting/Rack
pat0481,H02J,Y02E,Y04S,Solar Inverter
pat0482,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0483,Y02E,H02J,,Solar Inverter
pat0484,,,,Solar Mounting/Rack
pat0485,H01L,Y02E,,Solar Inverter
pat0486,Y02E,F24J,H01L,Solar Mounting/Rack
pat0487,,,,Solar Monitoring
pat0488,H01L,Y02E,F24J,Solar Mounting/Rack
pat0489,F24J,G01S,Y02E,Solar Monitoring
pat0490,F24J,Y02E,H01L,Solar Mounting/Rack
pat0491,H02M,Y02E,H01L,Solar Inverter
pat0492,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0493,Y02E,F24J,Y02E,Solar Mounting/Rack
pat0495,Y02E,H01L,,Solar Inverter
pat0496,F24J,Y02B,,Solar Mounting/Rack
pat0497,Y02E,G05F,H02M,Solar Inverter
pat0498,F24J,Y02E,H01L,Solar Mounting/Rack
pat0499,F24J,Y02E,H01L,Solar Mounting/Rack
pat0500,G01R,Y04S,Y02B,Solar Monitoring
pat0501,Y02E,H02M,Y02E,Solar Inverter
pat0502,,,,Solar Mounting/Rack
pat0503,H01L,Y02E,,Solar Mounting/Rack
pat0504,Y02E,F24J,Y02E,Solar Mounting/Rack
pat0505,Y02E,H02J,,Solar Inverter
pat0506,Y02E,H01R,H01L,Solar Mounting/Rack
pat0507,Y02E,H01L,G05F,Solar Inverter
pat0508,H01H,H02M,,Solar Inverter
pat0509,H05K,,,Solar Inverter
pat0510,Y02E,H02J,,Solar Inverter
pat0511,Y02E,H02J,,Solar Inverter
pat0512,Y02E,F24J,Y02E,Solar Mounting/Rack
pat0513,Y02E,H02J,,Solar Inverter
pat0514,H01L,Y02E,,Solar Monitoring
pat0515,F24J,Y02E,E04D,Solar Mounting/Rack
pat0516,G01R,Y02E,H01L,Solar Monitoring
pat0517,G01R,Y02E,H01L,Solar Monitoring
pat0518,H02M,H02J,,Solar Mounting/Rack
pat0519,H01R,Y02E,H01L,Solar Mounting/Rack
