Top1	Top2	Top3	Top4	Top5	Top6	Top7	Top8	Top9	Top10	Top11	Top12	Top13	Top14	Top15	TA
6.83237680483e-05	0.0001451332	0.0579138965	0.0001959151	0.0001264546	0.0239566071	0.0018696095	0.0545129772	0.0068726006	0.0002593705	0.8518828252	9.41787231701e-05	0.0001228612	0.0017951293	0.0001841174	Solar Invertor
0.0183193923	0.0001298964	0.0153173296	0.0047399073	0.0001131788	0.0031832839	0.0564480532	0.7136942315	6.5000950333e-05	0.0017536606	0.0032094611	8.42913804287e-05	0.0001099626	8.51477443113e-05	0.1827472025	Site Assessment
0.0001424	0.0003024857	0.0002378232	0.142132963	0.0002635559	0.0003265811	0.000353512	0.0002358812	0.0001513657	0.0855753612	0.0003875391	0.7690524483	0.0002560665	0.0001982809	0.0003837363	Solar Mounting/Rack
0.000193935	0.0004119564	0.1547361402	0.0005560992	0.0003589378	0.3333961815	0.0004814493	0.0003212474	0.0002061455	0.1744499944	0.0005277909	0.0002673236	0.000348738	0.1112538426	0.2224902182	Solar Monitoring
3.42269776707e-05	7.27048851584e-05	0.0239024251	9.81441890584e-05	6.33477896067e-05	7.84964025547e-05	8.49694692231e-05	0.7162661835	3.63819589915e-05	0.0214203452	0.0273448766	4.717908785e-05	6.15476576238e-05	0.2095453206	0.0009438506	Solar Monitoring
8.77069282609e-05	0.0001863069	0.0023287547	0.0024337701	0.002344604	0.7683618523	0.000217735	0.0001452838	0.0110046027	0.0985353156	0.1137169789	0.0001208968	0.0001577164	0.0001221251	0.0002363507	Solar Monitoring
0.6332277493	0.0317423196	0.0001628251	0.0002795587	0.0195867343	0.000223593	0.0075193905	0.0462514375	0.0001036322	0.0003701057	0.0002653278	0.0001343872	0.0001753154	0.1262766464	0.1336809773	Site Assessment
7.26462012018e-05	0.2514026728	0.0001213269	0.3454488587	0.0001344546	0.0001666073	0.0001803463	0.0001203362	7.72201138658e-05	0.0002757793	0.0001977054	0.4013744925	0.0001306339	0.0001011542	0.0001957654	Solar Mounting/Rack
9.02677866874e-05	0.1304593161	0.0001507569	0.5999388563	0.0024130615	0.0069449985	0.1102777286	0.0338394145	9.59511805312e-05	0.1148882957	0.0002456623	0.0001244268	0.0001623214	0.0001256909	0.0002432517	Solar Mounting/Rack
8.45695118167e-05	0.0022838537	0.0001412402	0.000242499	0.0001565225	0.0570076571	0.0002099463	0.0001400868	0.0337572747	0.0003210425	0.2906113123	0.0001165722	0.4988501499	0.1032241096	0.0128531638	Solar Invertor
